,Alpha,BidNumber,Bid_District,Bid_List_Rev_Wkly,Bid_Region,Bid_Request_Reason_Descr,Comp_Incentive,Constraints,Eff_Off_Incentive_Diff_Estimate,Flag,Gamma,Gross_OR_Ratio,Incentive_Freight,Ind_Dominant_Industry,List_Rev_Wkly,LowerBoundBind,LowerBoundType,LowerBoundValue,MVM_DRC_CD,Marginal_Cost_wkly,MktInc,NetRev_-0.01,NetRev_-0.02,NetRev_0,NetRev_0.01,NetRev_0.02,Obj_-0.01,Obj_-0.02,Obj_0,Obj_0.01,Obj_0.02,Optimal_UPSInc,Optimal_UPSInc_-0.01,Optimal_UPSInc_-0.02,Optimal_UPSInc_0,Optimal_UPSInc_0.01,Optimal_UPSInc_0.02,Overall_Incentive,PTWonBid_-0.01,PTWonBid_-0.02,PTWonBid_0,PTWonBid_0.01,PTWonBid_0.02,PTWonbid_optimal,Pct_Rev_Freight,PriorInctest,Prior_Incentive,Product,Product_Mode,Profit_-0.01,Profit_-0.02,Profit_0,Profit_0.01,Profit_0.02,RelBoundBind,SVC_FEA_TYP_CD,SVC_GRP_NR,SVM_TYP_CD,TP1_High,TP1_Low,TP1_Target,Target_High,Target_High_Shown_IWA,Target_Low,UpperBoundBind,UpperBoundType,UpperBoundValue,Weight_PriceDiscip,Weight_Volume,ceiling,index,DAS,RESI,Timestamp
0,-0.318156095572,P490032583,49,1505060.07791,07,CONVERSION,0.816911339057,True,-0.0155149898638,0.0,-0.816605740095,0.0976706396549,0.7,Diversified Vehicles & Parts,879849.36739,0.0,l_Prior,0.547801740617,N,85935.4505129,0.637248245618,115505.346587,109941.95133,121241.52027,127160.145924,133271.703426,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.69,0.68,0.7,0.71,0.72,0.7,0.452684645053,0.446269373748,0.459326807382,0.466209369823,0.473347016707,0.459326807382,0.984897365239,0.02,0.547801740617,1DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SCX,AMFHFVD,1DA,0.72,0.71,0.0,0.71,0.7,0.65,1.0,u_Ceiling,0.7,0.1,0.4,0.7,6,,,2018-04-05 16:29
1,-0.318156095572,P490032583,49,1505060.07791,07,CONVERSION,0.816911339057,True,-0.0155149898638,0.0,-0.816605740095,0.0976706396549,0.7,Diversified Vehicles & Parts,879849.36739,0.0,l_Prior,0.547801740617,N,85935.4505129,0.637248245618,115505.346587,109941.95133,121241.52027,127160.145924,133271.703426,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.69,0.68,0.7,0.71,0.72,0.7,0.452684645053,0.446269373748,0.459326807382,0.466209369823,0.473347016707,0.459326807382,0.984897365239,0.02,0.547801740617,1DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SCX,AMFHGBS,1DA,0.72,0.71,0.0,0.71,0.7,0.65,1.0,u_Ceiling,0.7,0.1,0.4,0.7,6,,,2018-04-05 16:29
2,-0.318156095572,P490032583,49,1505060.07791,07,CONVERSION,0.816911339057,True,-0.0155149898638,0.0,-0.816605740095,0.0976706396549,0.7,Diversified Vehicles & Parts,879849.36739,0.0,l_Prior,0.547801740617,N,85935.4505129,0.637248245618,115505.346587,109941.95133,121241.52027,127160.145924,133271.703426,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.69,0.68,0.7,0.71,0.72,0.7,0.452684645053,0.446269373748,0.459326807382,0.466209369823,0.473347016707,0.459326807382,0.984897365239,0.02,0.547801740617,1DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SCX,AMFHGBT,1DP,0.72,0.71,0.0,0.71,0.7,0.65,1.0,u_Ceiling,0.7,0.1,0.4,0.7,18,,,2018-04-05 16:29
3,-0.318156095572,P490032583,49,1505060.07791,07,CONVERSION,0.816911339057,True,-0.0155149898638,0.0,-0.816605740095,0.0976706396549,0.7,Diversified Vehicles & Parts,879849.36739,0.0,l_Prior,0.547801740617,N,85935.4505129,0.637248245618,115505.346587,109941.95133,121241.52027,127160.145924,133271.703426,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.69,0.68,0.7,0.71,0.72,0.7,0.452684645053,0.446269373748,0.459326807382,0.466209369823,0.473347016707,0.459326807382,0.984897365239,0.02,0.547801740617,1DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SCX,AMFHGBV,1DP,0.72,0.71,0.0,0.71,0.7,0.65,1.0,u_Ceiling,0.7,0.1,0.4,0.7,18,,,2018-04-05 16:29
4,-0.543507396351,P490032583,49,1505060.07791,07,CONVERSION,0.62276583941,True,-0.0179018125655,0.0,-1.19062285724,0.130886123809,0.667901812565,Diversified Vehicles & Parts,169454.99398,0.0,l_MktPR,0.583921018339,N,22179.3073221,0.667136814671,19932.7183818,18935.789705,20971.3922169,22054.200532,23183.7037737,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.64,0.63,0.65,0.66,0.67,0.65,0.345965857496,0.33862195251,0.353593966572,0.361521762832,0.369765784862,0.353593966572,0.980202749879,0.02,0.0,2DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SCX,AMFHGCA,2DA,0.72,0.71,0.0,0.677901812565,0.65,0.617901812565,1.0,u_Ceiling,0.65,0.1,0.4,0.65,33,,,2018-04-05 16:29
5,-0.543507396351,P490032583,49,1505060.07791,07,CONVERSION,0.62276583941,True,-0.0179018125655,0.0,-1.19062285724,0.130886123809,0.667901812565,Diversified Vehicles & Parts,169454.99398,0.0,l_MktPR,0.583921018339,N,22179.3073221,0.667136814671,19932.7183818,18935.789705,20971.3922169,22054.200532,23183.7037737,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.64,0.63,0.65,0.66,0.67,0.65,0.345965857496,0.33862195251,0.353593966572,0.361521762832,0.369765784862,0.353593966572,0.980202749879,0.02,0.0,2DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SCX,AMFHGBZ,2DA,0.72,0.71,0.0,0.677901812565,0.65,0.617901812565,1.0,u_Ceiling,0.65,0.1,0.4,0.65,33,,,2018-04-05 16:29
6,-0.543507396351,P490032583,49,1505060.07791,07,CONVERSION,0.62276583941,True,-0.0179018125655,0.0,-1.19062285724,0.130886123809,0.667901812565,Diversified Vehicles & Parts,169454.99398,0.0,l_MktPR,0.583921018339,N,22179.3073221,0.667136814671,19932.7183818,18935.789705,20971.3922169,22054.200532,23183.7037737,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.64,0.63,0.65,0.66,0.67,0.65,0.345965857496,0.33862195251,0.353593966572,0.361521762832,0.369765784862,0.353593966572,0.980202749879,0.02,0.0,2DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SPB,AMFHGBY,2DM,0.72,0.71,0.0,0.677901812565,0.65,0.617901812565,1.0,u_Ceiling,0.65,0.1,0.4,0.65,44,,,2018-04-05 16:29
7,-0.543507396351,P490032583,49,1505060.07791,07,CONVERSION,0.62276583941,True,-0.0179018125655,0.0,-1.19062285724,0.130886123809,0.667901812565,Diversified Vehicles & Parts,169454.99398,0.0,l_MktPR,0.583921018339,N,22179.3073221,0.667136814671,19932.7183818,18935.789705,20971.3922169,22054.200532,23183.7037737,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.64,0.63,0.65,0.66,0.67,0.65,0.345965857496,0.33862195251,0.353593966572,0.361521762832,0.369765784862,0.353593966572,0.980202749879,0.02,0.0,2DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SPB,AMFHGBX,2DM,0.72,0.71,0.0,0.677901812565,0.65,0.617901812565,1.0,u_Ceiling,0.65,0.1,0.4,0.65,44,,,2018-04-05 16:29
8,-0.838940935397,P490032583,49,1505060.07791,07,CONVERSION,0.758715455364,True,-0.0337967686963,0.0,-1.72193830113,0.186176223608,0.633796768696,Diversified Vehicles & Parts,1913.9456,0.0,l_MktPR,0.506832939759,N,356.331164,0.605466351807,214.968747523,203.323292901,227.215285305,240.098211177,253.654924259,0.229807102263,0.228979690145,0.230657181604,0.231532829858,0.232437206909,,0.59,0.58,0.6,0.61,0.62,0.6,0.287992467876,0.279559302578,0.296789111071,0.305967626831,0.315547263128,0.296789111071,0.975909137647,0.02,0.0,3DA,AIR,98124.8938918,101143.331338,95019.447186,91822.3785031,88528.7177968,0.0,SCX,AMFHGCB,3DS,0.72,0.71,0.0,0.643796768696,0.6,0.583796768696,1.0,u_Ceiling,0.6,0.1,0.4,0.6,52,,,2018-04-05 16:29
9,-0.361269750492,P490032583,49,1505060.07791,07,CONVERSION,0.551748355116,True,-0.0604504529408,0.0,-1.24035313974,0.370518358695,0.464633667624,Diversified Vehicles & Parts,324692.081744,1.0,l_Prior,0.404183214683,E,120304.377209,0.472224622105,70373.0218128,68289.1284369,72507.7283086,74694.875782,76936.154714,0.170411479514,0.170359362136,0.170395136749,0.170309547314,0.170153886602,,0.394183214683,0.384183214683,0.404183214683,0.414183214683,0.424183214683,0.404183214683,0.369975265985,0.365254480207,0.374800245901,0.379732535945,0.384775362903,0.374800245901,0.883721670837,0.02,0.404183214683,GND_Com,GND,28275.1672743,29101.5181355,27425.7336071,26552.4189549,25654.3920997,0.0,ALL,AMFHGMU,GND,0.5,0.49,0.49,0.474633667624,0.474633667624,0.414633667624,0.0,u_Ceiling,0.504,0.2,0.3,0.504,62,,,2018-04-05 16:29
10,-0.361269750492,P490032583,49,1505060.07791,07,CONVERSION,0.551748355116,True,-0.0604504529408,0.0,-1.24035313974,0.370518358695,0.464633667624,Diversified Vehicles & Parts,324692.081744,1.0,l_Prior,0.404183214683,I,120304.377209,0.472224622105,70373.0218128,68289.1284369,72507.7283086,74694.875782,76936.154714,0.170411479514,0.170359362136,0.170395136749,0.170309547314,0.170153886602,,0.394183214683,0.384183214683,0.404183214683,0.414183214683,0.424183214683,0.404183214683,0.369975265985,0.365254480207,0.374800245901,0.379732535945,0.384775362903,0.374800245901,0.883721670837,0.02,0.404183214683,GND_Com,GND,28275.1672743,29101.5181355,27425.7336071,26552.4189549,25654.3920997,0.0,ALL,AMFHGTP,GND,0.5,0.49,0.49,0.474633667624,0.474633667624,0.414633667624,0.0,u_Ceiling,0.504,0.2,0.3,0.504,80,,,2018-04-05 16:29
11,-0.361269750492,P490032583,49,1505060.07791,07,CONVERSION,0.551748355116,True,-0.0604504529408,0.0,-1.24035313974,0.370518358695,0.464633667624,Diversified Vehicles & Parts,324692.081744,1.0,l_Prior,0.404183214683,N,120304.377209,0.472224622105,70373.0218128,68289.1284369,72507.7283086,74694.875782,76936.154714,0.170411479514,0.170359362136,0.170395136749,0.170309547314,0.170153886602,,0.394183214683,0.384183214683,0.404183214683,0.414183214683,0.424183214683,0.404183214683,0.369975265985,0.365254480207,0.374800245901,0.379732535945,0.384775362903,0.374800245901,0.883721670837,0.02,0.404183214683,GND_Com,GND,28275.1672743,29101.5181355,27425.7336071,26552.4189549,25654.3920997,0.0,SPB,AMFHGFO,GND,0.5,0.49,0.0,0.474633667624,0.474633667624,0.414633667624,0.0,u_Ceiling,0.504,0.2,0.3,0.504,94,,,2018-04-05 16:29
12,-0.1417357907,P490032583,49,1505060.07791,07,CONVERSION,0.507850955991,True,-0.0763813034803,0.0,-3.08583685525,0.69629192372,0.317666457345,Diversified Vehicles & Parts,255.50154,0.0,l_Prior,0.187960451301,N,177.9036588,0.196474975372,95.4064521857,92.2505877321,98.6387565493,101.947546025,105.332713417,0.170411479514,0.170359362136,0.170395136749,0.170309547314,0.170153886602,,0.231285153865,0.221285153865,0.241285153865,0.251285153865,0.261285153865,0.241285153865,0.498732625658,0.488763529588,0.508833252048,0.519060505773,0.529408969744,0.508833252048,0.675247436865,0.02,0.187960451301,GND_Resi,GND,28275.1672743,29101.5181355,27425.7336071,26552.4189549,25654.3920997,0.0,SCR,AMFHGFP,GND,0.379,0.369,0.0,0.327666457345,0.327666457345,0.267666457345,0.0,u_MktInc,0.294712463058,0.2,0.3,0.504,99,,,2018-04-05 16:29
13,-0.134328254045,P490032583,49,1505060.07791,07,CONVERSION,0.825141159136,True,-0.0112790104314,0.0,-0.616679523129,0.148131037334,0.7,Diversified Vehicles & Parts,126968.931999,0.0,l_Prior,0.657369720953,E,18808.0396062,0.660821737514,16817.4952494,16022.1866677,17632.6621698,18468.8444724,19327.3084191,0.301402422015,0.300489375965,0.302358689132,0.30336302459,0.304420791249,,0.71,0.7,0.72,0.73,0.74,0.72,0.490568979842,0.485345461332,0.495977972504,0.50158467581,0.50740256205,0.495977972504,0.984923555851,0.0,0.657369720953,Export,IE,9099.00694035,9628.75554527,8558.99969622,8008.2133059,7446.08247764,0.0,ALL,AMFHGNH,WWS,0.691,0.681,0.681,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,122,,,2018-04-05 16:29
14,-0.134328254045,P490032583,49,1505060.07791,07,CONVERSION,0.825141159136,True,-0.0112790104314,0.0,-0.616679523129,0.148131037334,0.7,Diversified Vehicles & Parts,126968.931999,0.0,l_Prior,0.657369720953,E,18808.0396062,0.660821737514,16817.4952494,16022.1866677,17632.6621698,18468.8444724,19327.3084191,0.301402422015,0.300489375965,0.302358689132,0.30336302459,0.304420791249,,0.71,0.7,0.72,0.73,0.74,0.72,0.490568979842,0.485345461332,0.495977972504,0.50158467581,0.50740256205,0.495977972504,0.984923555851,0.0,0.657369720953,Export,IE,9099.00694035,9628.75554527,8558.99969622,8008.2133059,7446.08247764,0.0,ALL,AMFHGJQ,WXS,0.72,0.71,0.71,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,,,2018-04-05 16:29
15,-0.134328254045,P490032583,49,1505060.07791,07,CONVERSION,0.825141159136,True,-0.0112790104314,0.0,-0.616679523129,0.148131037334,0.7,Diversified Vehicles & Parts,126968.931999,0.0,l_Prior,0.657369720953,E,18808.0396062,0.660821737514,16817.4952494,16022.1866677,17632.6621698,18468.8444724,19327.3084191,0.301402422015,0.300489375965,0.302358689132,0.30336302459,0.304420791249,,0.71,0.7,0.72,0.73,0.74,0.72,0.490568979842,0.485345461332,0.495977972504,0.50158467581,0.50740256205,0.495977972504,0.984923555851,0.0,0.657369720953,Export,IE,9099.00694035,9628.75554527,8558.99969622,8008.2133059,7446.08247764,0.0,ALL,AMFHGJS,WXS,0.77,0.76,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,,,2018-04-05 16:29
16,-0.134328254045,P490032583,49,1505060.07791,07,CONVERSION,0.825141159136,True,-0.0112790104314,0.0,-0.616679523129,0.148131037334,0.7,Diversified Vehicles & Parts,126968.931999,0.0,l_Prior,0.657369720953,E,18808.0396062,0.660821737514,16817.4952494,16022.1866677,17632.6621698,18468.8444724,19327.3084191,0.301402422015,0.300489375965,0.302358689132,0.30336302459,0.304420791249,,0.71,0.7,0.72,0.73,0.74,0.72,0.490568979842,0.485345461332,0.495977972504,0.50158467581,0.50740256205,0.495977972504,0.984923555851,0.0,0.657369720953,Export,IE,9099.00694035,9628.75554527,8558.99969622,8008.2133059,7446.08247764,0.0,ALL,AMFHGJQ,WXS,0.77,0.76,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,,,2018-04-05 16:29
17,-0.134328254045,P490032583,49,1505060.07791,07,CONVERSION,0.825141159136,True,-0.0112790104314,0.0,-0.616679523129,0.148131037334,0.7,Diversified Vehicles & Parts,126968.931999,0.0,l_Prior,0.657369720953,E,18808.0396062,0.660821737514,16817.4952494,16022.1866677,17632.6621698,18468.8444724,19327.3084191,0.301402422015,0.300489375965,0.302358689132,0.30336302459,0.304420791249,,0.71,0.7,0.72,0.73,0.74,0.72,0.490568979842,0.485345461332,0.495977972504,0.50158467581,0.50740256205,0.495977972504,0.984923555851,0.0,0.657369720953,Export,IE,9099.00694035,9628.75554527,8558.99969622,8008.2133059,7446.08247764,0.0,ALL,AMFHGJS,WXS,0.72,0.71,0.71,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,,,2018-04-05 16:29
18,-0.134328254045,P490032583,49,1505060.07791,07,CONVERSION,0.825141159136,True,-0.0112790104314,0.0,-0.616679523129,0.148131037334,0.7,Diversified Vehicles & Parts,126968.931999,0.0,l_Prior,0.657369720953,E,18808.0396062,0.660821737514,16817.4952494,16022.1866677,17632.6621698,18468.8444724,19327.3084191,0.301402422015,0.300489375965,0.302358689132,0.30336302459,0.304420791249,,0.71,0.7,0.72,0.73,0.74,0.72,0.490568979842,0.485345461332,0.495977972504,0.50158467581,0.50740256205,0.495977972504,0.984923555851,0.0,0.657369720953,Export,IE,9099.00694035,9628.75554527,8558.99969622,8008.2133059,7446.08247764,0.0,ALL,AMFHGMF,WXS,0.72,0.71,0.71,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,,,2018-04-05 16:29
19,-0.134328254045,P490032583,49,1505060.07791,07,CONVERSION,0.825141159136,True,-0.0112790104314,0.0,-0.616679523129,0.148131037334,0.7,Diversified Vehicles & Parts,126968.931999,0.0,l_Prior,0.657369720953,E,18808.0396062,0.660821737514,16817.4952494,16022.1866677,17632.6621698,18468.8444724,19327.3084191,0.301402422015,0.300489375965,0.302358689132,0.30336302459,0.304420791249,,0.71,0.7,0.72,0.73,0.74,0.72,0.490568979842,0.485345461332,0.495977972504,0.50158467581,0.50740256205,0.495977972504,0.984923555851,0.0,0.657369720953,Export,IE,9099.00694035,9628.75554527,8558.99969622,8008.2133059,7446.08247764,0.0,ALL,AMFHGMF,WXS,0.77,0.76,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,,,2018-04-05 16:29
