"NVP_BID_NR","SVC_GRP_NR","RCM_NCV_QY","NCV_MIN_QY","NCV_MAX_QY","MVM_DRC_CD","SVC_TYP_CD","SVC_FEA_TYP_CD"
"I110000891","ACCRVJN",0.682,0.632,0.692,"N","2DM","SPB"
"I930000891","ACCRVGH",0.675,0.61,0.67,"N","1DA","SCX"
"I930000891","ACCRVGM",0.183,0.133,0.193,"N","GND","CWT"
"I930000891","ACCRVGS",0.16,0.16,0.22,"I","GND","ALL"
"I930000891","ACCRVGT",0.16,0.16,0.22,"E","GND","ALL"
"I930000891","ACCRVGV",0.611,0.561,0.621,"E","XPD","AGC"
"I930000891","ACCRVHB",0.661,0.561,0.621,"E","XPD","ALL"
"I930000891","ACCRVHE",0.474,0.424,0.484,"I","XPR","ALL"
"I930000891","ACCRVHI",0.661,0.561,0.621,"E","WXS","ALL"
"I930000891","ACCRVHT",0.661,0.561,0.621,"E","WXS","ALL"
"I930000891","ACCRYYT",0,0.5,0,"N","USM","ALL"
"I930000891","ACCRYYT",0,0,0,"N","USM","ALL"
"I930000891","ACCRYXY",0,0.5,0,"N","USL","ALL"
"I930000891","ACCRYXY",0,0,1,"N","USL","ALL"
"I930000891","ACCRYZF",0,0,0,"I","WXS","ALL"
"I930000891","ACCRYZB",0,0,1,"E","WFM","ALL"
"I930000891","ACCRYYN",0,0,1,"I","3DM","ALL"
"I930000891","ACCRYYA",0,0,0,"N","USB","ALL"
"I110000891","ACCRVJS",0,0,0,"N","1DA","ALL"
"I930000891","ACCRYYB",0,0.5,0,"N","USG","ALL"
"I110000891","ACCRVJO",0,0,1,"N","1DA","ALL"
"I110000891","ACCRVJH",0.7,0.64,0.7,"N","1DA","SCX"
"I110000891","ACCRVJL",0.682,0.632,0.692,"N","2DA","SCX"
"I930000891","ACCRVGH",0.675,0.625,0.685,"N","1DA","SCX"
"I930000891","ACCRVGI",0.675,0.625,0.685,"N","1DA","SCX"
"I930000891","ACCRVGJ",0.675,0.61,0.67,"N","1DP","SCX"
"I930000891","ACCRVGY",0.611,0.561,0.621,"E","XPR","ALL"
"I930000891","ACCRVGY",0.661,0.561,0.621,"E","XPR","ALL"
"I930000891","ACCRVHD",0.661,0.611,0.671,"E","XPD","ALL"
"I930000891","ACCRVHH",0.611,0.561,0.621,"E","WXS","ALL"
"I930000891","ACCRVHO",0.611,0.561,0.621,"E","WWS","ALL"
"I930000891","ACCRVHU",0.204,0.154,0.214,"N","USL","SCR"
"I930000891","ACCRVHW",0.611,0.561,0.621,"E","WXP","ALL"
"I930000891","ACCRVHW",0.661,0.611,0.671,"E","WXP","ALL"
"I930000891","ACCRYYH",0,0,0,"E","GND","ALL"
"I930000891","ACCRYXZ",0,0,1,"I","XPD","ALL"
"I930000891","ACCRVJB",0.25,0.25,0.25,"N","1DA","ALL"
"I930000891","ACCRVJD",0.25,0.25,0.25,"N","GND","ALL"
"I930000891","ACCRYYA",0,0,1,"N","USB","ALL"
"I930000891","ACCRYZG",0,0,0,"I","3DM","ALL"
"I930000891","ACCRYYB",0,0,1,"N","USG","ALL"
"I110000891","ACCRVJM",0.682,0.632,0.692,"N","2DM","SPB"
