"NVP_BID_NR","SVC_GRP_NR"
"I110000891","ACCRVJG"
"I110000891","ACCRVJH"
"I110000891","ACCRVJI"
"I110000891","ACCRVJJ"
"I110000891","ACCRVJK"
"I110000891","ACCRVJL"
"I110000891","ACCRVJM"
"I110000891","ACCRVJN"
"I110000891","ACCRVJO"
"I110000891","ACCRVJP"
"I110000891","ACCRVJQ"
"I110000891","ACCRVJR"
"I110000891","ACCRVJS"
"I930000891","ACCRVGH"
"I930000891","ACCRVGI"
"I930000891","ACCRVGJ"
"I930000891","ACCRVGK"
"I930000891","ACCRVGL"
"I930000891","ACCRVGM"
"I930000891","ACCRVGN"
"I930000891","ACCRVGO"
"I930000891","ACCRVGP"
"I930000891","ACCRVGQ"
"I930000891","ACCRVGR"
"I930000891","ACCRVGS"
"I930000891","ACCRVGT"
"I930000891","ACCRVGU"
"I930000891","ACCRVGV"
"I930000891","ACCRVGW"
"I930000891","ACCRVGX"
"I930000891","ACCRVGY"
"I930000891","ACCRVGZ"
"I930000891","ACCRVHA"
"I930000891","ACCRVHB"
"I930000891","ACCRVHC"
"I930000891","ACCRVHD"
"I930000891","ACCRVHE"
"I930000891","ACCRVHF"
"I930000891","ACCRVHG"
"I930000891","ACCRVHH"
"I930000891","ACCRVHI"
"I930000891","ACCRVHJ"
"I930000891","ACCRVHK"
"I930000891","ACCRVHL"
"I930000891","ACCRVHM"
"I930000891","ACCRVHN"
"I930000891","ACCRVHO"
"I930000891","ACCRVHP"
"I930000891","ACCRVHQ"
"I930000891","ACCRVHR"
"I930000891","ACCRVHS"
"I930000891","ACCRVHT"
"I930000891","ACCRVHU"
"I930000891","ACCRVHV"
"I930000891","ACCRVHW"
"I930000891","ACCRVHX"
"I930000891","ACCRVHY"
"I930000891","ACCRVHZ"
"I930000891","ACCRVJB"
"I930000891","ACCRVJC"
"I930000891","ACCRVJD"
"I930000891","ACCRVJE"
"I930000891","ACCRYXT"
"I930000891","ACCRYXU"
"I930000891","ACCRYXV"
"I930000891","ACCRYXX"
"I930000891","ACCRYXY"
"I930000891","ACCRYXZ"
"I930000891","ACCRYYA"
"I930000891","ACCRYYB"
"I930000891","ACCRYYC"
"I930000891","ACCRYYE"
"I930000891","ACCRYYH"
"I930000891","ACCRYYI"
"I930000891","ACCRYYK"
"I930000891","ACCRYYL"
"I930000891","ACCRYYN"
"I930000891","ACCRYYO"
"I930000891","ACCRYYQ"
"I930000891","ACCRYYT"
"I930000891","ACCRYYU"
"I930000891","ACCRYYW"
"I930000891","ACCRYYX"
"I930000891","ACCRYYZ"
"I930000891","ACCRYZA"
"I930000891","ACCRYZB"
"I930000891","ACCRYZE"
"I930000891","ACCRYZF"
"I930000891","ACCRYZG"
"I930000891","ACCRYZJ"
"I930000891","ACCRYZK"
"I930000891","ACCRYZM"
"I930000891","ACCRYZO"
"I930000891","ACCRYZP"
"I930000891","ACCRYZQ"
"I930000891","ACCRYZR"
"I930000891","ACCRYZT"
"I930000891","ACCRZKC"
