"NVP_BID_NR","SVC_GRP_NR","SVC_GRP_SUF_NR","SHR_AC_NR","CUS_AC_STT_DT","CNY_CD","CCY_CD","SHR_PJT_GRS_RPP_A","SHR_PJT_WVL_QY","SHR_PRR_GRS_RVN_A","SHR_PRR_NET_RVN_A","TPT_FRT_CLS_NR","CPE_CRR_NTL_NCV_PR","CPE_CRR_REG_NCV_PR","CPE_NTL_NRV_MIA_A","CPE_REG_NRV_MIA_A","RA_TRI_NR"
"I110000891","ACCRVJG","00","0000R34W51",05-OCT-17,"US","USD",31.7633,0.1,0,0,,,,,,6
"I110000891","ACCRVJH","00","0000R34W51",05-OCT-17,"US","USD",102.914,1236.287,343.415,137.365,,,,,,6
"I110000891","ACCRVJI","00","0000R34W51",05-OCT-17,"US","USD",30.6221,0.1,0,0,,,,,,6
"I110000891","ACCRVJJ","00","0000R34W51",05-OCT-17,"US","USD",86.816,1397.867,279.915,111.965,,,,,,6
"I110000891","ACCRVJK","00","0000R34W51",05-OCT-17,"US","USD",21.3797,0.1,0,0,,,,,,6
"I110000891","ACCRVJL","00","0000R34W51",05-OCT-17,"US","USD",27.3763,14218.378,179.25,85.45,,,,,,6
"I110000891","ACCRVJM","00","0000R34W51",05-OCT-17,"US","USD",22.9785,0.1,0,0,,,,,,6
"I110000891","ACCRVJN","00","0000R34W51",05-OCT-17,"US","USD",24.1502,0.1,0,0,,,,,,6
"I930000891","ACCRVGH","00","0000R34W51",05-OCT-17,"US","USD",31.7633,0.1,0,0,,,,,,6
"I930000891","ACCRVGI","00","0000R34W51",05-OCT-17,"US","USD",102.914,5.36,343.415,137.365,,,,,,6
"I930000891","ACCRVGJ","00","0000R34W51",05-OCT-17,"US","USD",30.6221,0.1,0,0,,,,,,6
"I930000891","ACCRVGK","00","0000R34W51",05-OCT-17,"US","USD",86.816,6.147,279.915,111.965,,,,,,6
"I930000891","ACCRVGL","00","0000R34W51",05-OCT-17,"US","USD",11.58,71.528,0,0,,,,,,6
"I930000891","ACCRVGM","00","0000R34W51",05-OCT-17,"US","USD",25.578,5.417,0,0,0,0,0,0,0,6
"I930000891","ACCRVGN","00","0000R34W51",05-OCT-17,"US","USD",11.58,55.099,0,0,,,,,,6
"I930000891","ACCRVGO","00","0000R34W51",05-OCT-17,"US","USD",21.3797,0.1,0,0,,,,,,6
"I930000891","ACCRVGP","00","0000R34W51",05-OCT-17,"US","USD",27.3763,48.049,179.25,85.45,,,,,,6
"I930000891","ACCRVGQ","00","0000R34W51",05-OCT-17,"US","USD",22.9785,0.1,0,0,,,,,,6
"I930000891","ACCRVGR","00","0000R34W51",05-OCT-17,"US","USD",24.1502,0.1,0,0,,,,,,6
"I930000891","ACCRVGS","00","0000R34W51",05-OCT-17,"US","USD",24.8853,14.48,0,0,,,,,,6
"I930000891","ACCRVGT","00","0000R34W51",05-OCT-17,"US","USD",30.3941,26.453,0,0,,,,,,6
"I930000891","ACCRVGU","00","0000R34W51",05-OCT-17,"US","USD",23.26,61.422,27.165,13.585,,,,,,6
"I930000891","ACCRVGV","00","0000R34W51",05-OCT-17,"US","USD",234.9225,11.558,0,0,,,,,,6
"I930000891","ACCRVGW","00","0000R34W51",05-OCT-17,"US","USD",123.8151,3.543,0,0,,,,,,6
"I930000891","ACCRVGX","00","0000R34W51",05-OCT-17,"US","USD",77.1772,5.222,0,0,,,,,,6
"I930000891","ACCRVGY","00","0000R34W51",05-OCT-17,"US","USD",90.2468,0.643,0,0,,,,,,6
"I930000891","ACCRVGZ","00","0000R34W51",05-OCT-17,"US","USD",297.0707,11.558,0,0,,,,,,6
"I930000891","ACCRVHA","00","0000R34W51",05-OCT-17,"US","USD",115.4882,1.351,0,0,,,,,,6
"I930000891","ACCRVHB","00","0000R34W51",05-OCT-17,"US","USD",130.3843,3.164,0,0,,,,,,6
"I930000891","ACCRVHC","00","0000R34W51",05-OCT-17,"US","USD",82.38,1.417,0,0,,,,,,6
