"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"ACCRVJG","00","I110000891","N1DALTRSCX","SCX","                    ","LTR","                    ","1DA","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,31.5815,6.858233,0,0,0,8.779058,07-OCT-17,24-AUG-47,0.848,0,,,,,,,,,,,"LB","T",31.8324,"N",0,0.0353,0
"ACCRVJH","00","I110000891","N1DAPKGSCX","SCX","                    ","PKG","                    ","1DA","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",1333.6437,0.2079,102.914,9.27993,0,0,0,14.021524,07-OCT-17,24-AUG-47,1,0.6,,,,,,,,,,,"LB","T",102.914,"N",9.8,0.849792,11.5322
"ACCRVJI","00","I110000891","N1DPLTRSCX","SCX","                    ","LTR","                    ","1DP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,30.6538,6.231733,0,0,0,8.137646,07-OCT-17,24-AUG-47,0.59,0,,,,,,,,,,,"LB","T",30.6538,"N",0,0.0353,0
"ACCRVJJ","00","I110000891","N1DPPKGSCX","SCX","                    ","PKG","                    ","1DP","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",1299.1491,0.1859,86.816,7.960967,0,0,0,12.06976,07-OCT-17,24-AUG-47,1,0.6,,,,,,,,,,,"LB","T",86.816,"N",7.8,0.703528,11.087
"ACCRVJK","00","I110000891","N2DALTRSCX","SCX","                    ","LTR","                    ","2DA","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,21.106,5.212434,0,0,0,6.870031,07-OCT-17,24-AUG-47,0.626,0,,,,,,,,,,,"LB","T",21.3835,"N",0,0.0353,0
"ACCRVJL","00","I110000891","N2DAPKGSCX","SCX","                    ","PKG","                    ","2DA","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",10436.7029,0.1468,27.3763,3.138926,0,0,0,4.086408,07-OCT-17,24-AUG-47,1,0.5233,,,,,,,,,,,"LB","T",27.3763,"N",5.125,0.459714,11.1482
"ACCRVJM","00","I110000891","N2DMLTRSPB","SPB","                    ","LTR","                    ","2DM","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,22.7682,4.987535,0,0,0,6.348795,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",22.9785,"N",0,0.0353,0
"ACCRVJN","00","I110000891","N2DMPKGSPB","SPB","                    ","PKG","                    ","2DM","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.0001,0,23.817,5.950739,0,0,0,7.427233,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",24.1502,"N",0,0.187071,0
"ACCRVJO","00","I110000891","N1DAALLALL","ALL","                    ","ALL","                    ","1DA","                    ","000033","      ","                    ","3","0000","                    ","                    ","USD","                    ",1,0,0.1,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.1,"N",0,0,0
"ACCRVJP","00","I110000891","N1DAALLALL","ALL","                    ","ALL","                    ","1DA","                    ","000033","      ","                    ","3","0000","                    ","                    ","USD","                    ",100,0,0.001,0,0,0,0,0,07-OCT-17,24-AUG-47,0,,,,,,,,,,,,"LB"," ",0.001,"N",0,0,0
