"NVP_BID_NR","SVC_GRP_NR","SVC_GRP_SUF_NR","DEL_ZN_NR","WGT_MS_UNT_TYP_CD","WGT_CGY_WGY_QY","PKGVOL","WEIGHT"
"I110000891","ACCRVJG","00","103   ","LB",0,0.0153101,0
"I110000891","ACCRVJG","00","104   ","LB",0,0.0118799,0
"I110000891","ACCRVJG","00","105   ","LB",0,0.0167361,0
"I110000891","ACCRVJG","00","106   ","LB",0,0.0108073,0
"I110000891","ACCRVJG","00","107   ","LB",0,0.0056119,0
"I110000891","ACCRVJG","00","108   ","LB",0,0.0396548,0
"I110000891","ACCRVJH","00","105   ","LB",2,247.2574,2
"I110000891","ACCRVJH","00","105   ","LB",3,247.2574,3
"I110000891","ACCRVJH","00","105   ","LB",4,247.2574,4
"I110000891","ACCRVJH","00","105   ","LB",17,247.2574,17
"I110000891","ACCRVJH","00","105   ","LB",20,247.2574,20
"I110000891","ACCRVJI","00","133   ","LB",0,0.014943,0
"I110000891","ACCRVJI","00","134   ","LB",0,0.0132802,0
"I110000891","ACCRVJI","00","135   ","LB",0,0.0165155,0
"I110000891","ACCRVJI","00","136   ","LB",0,0.0113931,0
"I110000891","ACCRVJI","00","137   ","LB",0,0.0059762,0
"I110000891","ACCRVJI","00","138   ","LB",0,0.0378921,0
"I110000891","ACCRVJJ","00","135   ","LB",1,279.5734,1
"I110000891","ACCRVJJ","00","135   ","LB",3,139.7867,3
"I110000891","ACCRVJJ","00","135   ","LB",4,139.7867,4
"I110000891","ACCRVJJ","00","135   ","LB",7,139.7867,7
"I110000891","ACCRVJJ","00","135   ","LB",9,139.7867,9
"I110000891","ACCRVJJ","00","135   ","LB",11,279.5734,11
"I110000891","ACCRVJJ","00","135   ","LB",18,139.7867,18
"I110000891","ACCRVJJ","00","136   ","LB",7,139.7867,7
"I110000891","ACCRVJK","00","203   ","LB",0,0.0138758,0
"I110000891","ACCRVJK","00","204   ","LB",0,0.0118061,0
"I110000891","ACCRVJK","00","205   ","LB",0,0.017832,0
"I110000891","ACCRVJK","00","206   ","LB",0,0.014718,0
"I110000891","ACCRVJK","00","207   ","LB",0,0.0089108,0
"I110000891","ACCRVJK","00","208   ","LB",0,0.0328573,0
"I110000891","ACCRVJL","00","202   ","LB",3,1777.29725,3
"I110000891","ACCRVJL","00","205   ","LB",1,1777.29725,1
"I110000891","ACCRVJL","00","205   ","LB",3,3554.5945,3
"I110000891","ACCRVJL","00","205   ","LB",4,3554.5945,4
"I110000891","ACCRVJL","00","205   ","LB",7,1777.29725,7
"I110000891","ACCRVJL","00","205   ","LB",9,1777.29725,9
"I110000891","ACCRVJM","00","243   ","LB",0,0.01949,0
"I110000891","ACCRVJM","00","244   ","LB",0,0.0131811,0
"I110000891","ACCRVJM","00","245   ","LB",0,0.0196303,0
